Parameter,Value,Error
"redshift",2.92600,0.00000
"S/N",4.76364,0.00000
"Vdisp",75.0000,0.00000
"Stellar",3.29801e+06,1.81552e+06
"E(B-V)",0.261001,0.0131620
"fcov(HI)",0.977980,0.0293423
"fcov(OVI)",1.00000,0.00000
"fcov(OI)",1.00000,0.00000
"fcov(CII)",1.00000,0.00000
"log_n(HI)",18.0000,0.00000
"log_n(OVI)",15.2714,0.150002
"log_n(OI)",16.1145,0.0281763
"log_n(CII)",15.4688,0.0801454
"b(HI)",227.094,8.94196
"b(OVI)",116.124,24.2209
"b(OI)",176.156,18.6763
"b(CII)",227.691,33.0742
"v(HI)",-157.867,19.1898
"v(OVI)",-314.019,14.9184
"v(OI)",-246.549,10.7412
"v(CII)",-208.196,28.9241
